Subject_of_complaint,Representative_words
שקט,מפריע
שקט,"מפריע, רעש"
אוכל,לשפר
תעסוקה,תעסוקה
"תעסוקה, אוכל","פעילויות, לשפר"
אוכל,אוכל
"תעסוקה, אוכל, רפואה","פעילויות, אוכל, טיפול"
אוכל,אוכל
אוכל,אוכל
רפואה,שעות
תעסוקה,פעילויות
תעסוקה,פעילויות
אוכל,אוכל
"תעסוקה, אוכל","פעילויות, אוכל"
אוכל,"לשפר, טעים"
אוכל,לשפר
אוכל,לשפר
תעסוקה,פעילויות
שקט,בלילה
שקט,מפריע
אוכל,אוכל
תעסוקה,פעילויות
תעסוקה,פעילויות
אוכל,לשפר
"תעסוקה, שקט","פעילויות, רעש"
אוכל,אוכל
אוכל,אוכל
אוכל,אוכל
תעסוקה,פעילויות
תעסוקה,פעילויות
רפואה,שעות
תעסוקה,פעילויות
"תעסוקה, רפואה","תעסוקה, שעות"
רפואה,שעות
תעסוקה,פעילויות
רפואה,שעות
תעסוקה,פעילויות
רפואה,טיפול
תעסוקה,פעילויות
אוכל,אוכל
אוכל,אוכל
"אוכל, רפואה","לשפר, טיפול"
אוכל,טעים
אוכל,לשפר
"תעסוקה, רפואה","פעילויות, רופאים, טיפול"
"תעסוקה, אוכל, שקט","פעילויות, אוכל, טעים, רעש"
שקט,בלילה
רפואה,שעות
תעסוקה,פעילויות
"תעסוקה, אוכל","פעילויות, אוכל"
תעסוקה,פעילויות
תעסוקה,פעילויות
אוכל,לשפר
תעסוקה,פעילויות
תעסוקה,פעילויות
תעסוקה,פעילויות
"תעסוקה, רפואה","פעילויות, טיפול"
אוכל,טעים
תעסוקה,"תעסוקה, פעילויות"
"תעסוקה, שקט","פעילויות, מפריע"
רפואה,טיפול
"תעסוקה, אוכל","פעילויות, לשפר"
תעסוקה,פעילויות
"תעסוקה, אוכל, רפואה","פעילויות, אוכל, שעות"
אוכל,אוכל
שקט,"בלילה, רעש"
רפואה,טיפול
רפואה,טיפול
אוכל,לשפר
תעסוקה,פעילויות
תעסוקה,פעילויות
תעסוקה,פעילויות
"תעסוקה, שקט","פעילויות, מפריע"
תעסוקה,פעילויות
תעסוקה,פעילויות
תעסוקה,פעילויות
"תעסוקה, אוכל","פעילויות, אוכל"
תעסוקה,פעילויות
תעסוקה,פעילויות
אוכל,טעים
אוכל,טעים
"תעסוקה, רפואה","פעילויות, טיפול"
תעסוקה,פעילויות
תעסוקה,פעילויות
רפואה,שעות
שקט,"שקט, בלילה"
"תעסוקה, אוכל, רפואה","פעילויות, אוכל, טעים, שעות"
"תעסוקה, אוכל, רפואה, שקט","פעילויות, אוכל, שעות, בלילה"
רפואה,טיפול
"רפואה, שקט","טיפול, רעש"
"תעסוקה, שקט","פעילויות, רעש"
אוכל,לשפר
"תעסוקה, אוכל","פעילויות, לשפר"
"תעסוקה, שקט","פעילויות, מפריע"
תעסוקה,פעילויות
רפואה,טיפול
תעסוקה,פעילויות
תעסוקה,פעילויות
תעסוקה,פעילויות
"תעסוקה, רפואה","פעילויות, שעות"
רפואה,"רופאים, טיפול"
"תעסוקה, רפואה","פעילויות, טיפול, שעות"
"תעסוקה, רפואה","פעילויות, טיפול"
"תעסוקה, שקט","פעילויות, שקט, בלילה, רעש"
"אוכל, שקט","לשפר, שקט, בלילה"
אוכל,לשפר
תעסוקה,פעילויות
רפואה,טיפול
שקט,מפריע
אוכל,לשפר
אוכל,אוכל
שקט,בלילה
רפואה,טיפול
"תעסוקה, אוכל, רפואה","פעילויות, אוכל, טיפול"
רפואה,רופאים
"תעסוקה, רפואה","פעילויות, טיפול"
אוכל,טעים
אוכל,אוכל
אוכל,לשפר
שקט,מפריע
שקט,מפריע
"תעסוקה, שקט","פעילויות, בלילה"
"אוכל, שקט","אוכל, בלילה, רעש"
תעסוקה,פעילויות
שקט,מפריע
תעסוקה,פעילויות
רפואה,שעות
אוכל,"אוכל, לשפר"
תעסוקה,פעילויות
רפואה,רופאים
"אוכל, רפואה","אוכל, שעות"
"תעסוקה, רפואה","פעילויות, טיפול"
"אוכל, רפואה","אוכל, רופאים, טיפול, שעות"
רפואה,טיפול
אוכל,אוכל
"אוכל, שקט","אוכל, שקט"
רפואה,טיפול
אוכל,אוכל
"רפואה, שקט","רופאים, טיפול, שקט"
רפואה,טיפול
רפואה,רופאים
רפואה,טיפול
רפואה,"רופאים, טיפול"
רפואה,טיפול
"תעסוקה, רפואה","פעילויות, שעות"
שקט,"שקט, בלילה, רעש"
תעסוקה,פעילויות
רפואה,שעות
אוכל,לשפר
"תעסוקה, שקט","פעילויות, בלילה"
"תעסוקה, רפואה","פעילויות, טיפול, שעות"
"תעסוקה, אוכל, רפואה","פעילויות, אוכל, טיפול, שעות"
שקט,בלילה
שקט,מפריע
תעסוקה,פעילויות
רפואה,טיפול
תעסוקה,פעילויות
רפואה,שעות
שקט,"שקט, בלילה, רעש"
תעסוקה,פעילויות
אוכל,אוכל
תעסוקה,פעילויות
תעסוקה,פעילויות
תעסוקה,פעילויות
אוכל,טעים
"אוכל, שקט","טעים, בלילה"
תעסוקה,פעילויות
רפואה,טיפול
"תעסוקה, רפואה","פעילויות, טיפול"
תעסוקה,פעילויות
רפואה,טיפול
אוכל,לשפר
אוכל,לשפר
רפואה,טיפול
שקט,שקט
"תעסוקה, אוכל, רפואה","פעילויות, אוכל, רופאים"
אוכל,"אוכל, לשפר"
תעסוקה,פעילויות
רפואה,טיפול
אוכל,אוכל
תעסוקה,פעילויות
אוכל,אוכל
"אוכל, רפואה, שקט","אוכל, טיפול, בלילה"
"תעסוקה, רפואה","פעילויות, טיפול, שעות"
"תעסוקה, אוכל, רפואה","פעילויות, אוכל, טיפול"
"אוכל, רפואה","אוכל, רופאים"
"תעסוקה, רפואה, שקט","פעילויות, טיפול, מפריע, בלילה"
"תעסוקה, אוכל","פעילויות, אוכל"
"תעסוקה, רפואה","פעילויות, טיפול"
"תעסוקה, רפואה, שקט","פעילויות, טיפול, שעות, בלילה"
"תעסוקה, אוכל","פעילויות, אוכל, טעים"
רפואה,טיפול
"אוכל, שקט","טעים, בלילה"
"תעסוקה, רפואה","פעילויות, טיפול, שעות"
שקט,שקט
אוכל,אוכל
אוכל,אוכל
תעסוקה,"תעסוקה, פעילויות"
תעסוקה,פעילויות
אוכל,אוכל
תעסוקה,פעילויות
אוכל,אוכל
רפואה,טיפול
תעסוקה,פעילויות
אוכל,לשפר
אוכל,אוכל
"אוכל, שקט","לשפר, בלילה"
תעסוקה,פעילויות
תעסוקה,פעילויות
רפואה,טיפול
תעסוקה,פעילויות
"תעסוקה, אוכל, רפואה","תעסוקה, פעילויות, טעים, שעות"
אוכל,"אוכל, טעים"
"תעסוקה, שקט","פעילויות, בלילה"
אוכל,אוכל
אוכל,"אוכל, טעים"
אוכל,לשפר
אוכל,"אוכל, טעים"
תעסוקה,פעילויות
אוכל,אוכל
תעסוקה,פעילויות
תעסוקה,פעילויות
תעסוקה,פעילויות
אוכל,לשפר
אוכל,"אוכל, טעים"
רפואה,"רופאים, טיפול"
תעסוקה,פעילויות
"תעסוקה, רפואה","פעילויות, שעות"
רפואה,טיפול
אוכל,אוכל
אוכל,טעים
"תעסוקה, רפואה","תעסוקה, שעות"
אוכל,לשפר
אוכל,לשפר
